# SampleTime SensorID Value
0, 0, 0.106368
0, 1, -0.493375
0, 2, NULL
0, 3, 0.083700
1, 0, 0.108845
1, 1, -0.495039
1, 2, NULL
1, 3, 0.084815
2, 0, 0.113493
2, 1, -0.493462
2, 2, -0.450344
2, 3, 0.086815
3, 0, 0.116359
3, 1, -0.489074
3, 2, -0.452628
3, 3, 0.082568
4, 0, 0.120894
4, 1, -0.485315
4, 2, NULL
4, 3, 0.082193
5, 0, -0.111417
5, 1, -0.485933
5, 2, NULL
5, 3, 0.085924
6, 0, -0.106610
6, 1, -0.489984
6, 2, NULL
6, 3, 0.084010
7, 0, -0.104700
7, 1, 0.274663
7, 2, -0.480285
7, 3, 0.083832
8, 0, -0.100993
8, 1, 0.272753
8, 2, -0.480813
8, 3, 0.082552
9, 0, -0.103637
9, 1, 0.271460
9, 2, -0.480001
9, 3, 0.085003
10, 0, -0.100787
10, 1, 0.275610
10, 2, -0.484479
10, 3, 0.084435
11, 0, -0.099714
11, 1, 0.275826
11, 2, -0.481784
11, 3, 0.088796
12, 0, -0.100601
12, 1, 0.276602
12, 2, -0.481600
12, 3, 0.093088
13, 0, -0.100902
13, 1, 0.276182
13, 2, NULL
13, 3, 0.094574
14, 0, NULL
14, 1, 0.280869
14, 2, NULL
14, 3, 0.097941
15, 0, NULL
15, 1, 0.278741
15, 2, NULL
15, 3, 0.098785
16, 0, NULL
16, 1, 0.275749
16, 2, NULL
16, 3, 0.101607
17, 0, NULL
17, 1, 0.274756
17, 2, NULL
17, 3, 0.104851
18, 0, NULL
18, 1, 0.271424
18, 2, 0.410892
18, 3, NULL
19, 0, 0.048303
19, 1, 0.269290
19, 2, 0.414601
19, 3, NULL
20, 0, 0.045248
20, 1, 0.264589
20, 2, 0.412451
20, 3, NULL
21, 0, 0.040315
21, 1, 0.266197
21, 2, 0.415728
21, 3, 0.082680
22, 0, 0.036625
22, 1, 0.265373
22, 2, 0.413614
22, 3, 0.081429
23, 0, 0.033850
