# SampleTime SensorID Value
0, 0, 0.015034
0, 1, -0.247188
0, 2, -0.263216
0, 3, 0.072738
0, 4, -0.235906
0, 5, -0.224022
0, 6, 0.011120
0, 7, NULL
0, 8, 0.252026
0, 9, -0.307868
1, 0, 0.015358
1, 1, -0.244878
1, 2, -0.263624
1, 3, 0.373850
1, 4, NULL
1, 5, -0.226141
1, 6, 0.008414
1, 7, NULL
1, 8, 0.254396
1, 9, NULL
2, 0, 0.010677
2, 1, 0.365598
2, 2, -0.266999
2, 3, 0.378727
2, 4, 0.205578
2, 5, -0.222941
2, 6, 0.011967
2, 7, -0.390062
2, 8, -0.398692
2, 9, NULL
3, 0, 0.014338
3, 1, 0.368952
3, 2, -0.267978
3, 3, 0.375337
3, 4, 0.205101
3, 5, -0.223194
3, 6, NULL
3, 7, -0.386852
3, 8, NULL
3, 9, NULL
4, 0, 0.013553
4, 1, 0.369180
4, 2, -0.269388
4, 3, NULL
4, 4, 0.209040
4, 5, -0.225233
4, 6, NULL
4, 7, -0.391814
4, 8, NULL
4, 9, NULL
5, 0, 0.012393
5, 1, 0.367582
5, 2, -0.267871
5, 3, NULL
5, 4, 0.210211
5, 5, -0.222140
5, 6, 0.454872
5, 7, -0.395202
5, 8, NULL
5, 9, -0.253300
6, 0, NULL
6, 1, NULL
6, 2, NULL
6, 3, NULL
6, 4, NULL
6, 5, -0.223941
6, 6, 0.456072
6, 7, -0.392792
6, 8, NULL
6, 9, -0.248849
7, 0, NULL
7, 1, -0.139256
7, 2, NULL
7, 3, NULL
7, 4, NULL
7, 5, -0.225884
7, 6, 0.456354
7, 7, -0.392339
7, 8, NULL
7, 9, -0.246614
8, 0, NULL
8, 1, -0.140249
8, 2, NULL
8, 3, NULL
8, 4, NULL
8, 5, -0.227384
8, 6, 0.453590
8, 7, -0.390410
8, 8, NULL
8, 9, -0.244230
9, 0, NULL
9, 1, -0.135926
9, 2, NULL
9, 3, NULL
9, 4, NULL
9, 5, -0.231948
9, 6, 0.457886
9, 7, -0.391054
9, 8, 0.195488
